human_agency	What is the recommended consulting angle for Human Agency?	Human Agency
human_agency_offer	What contained offer was proposed for Human Agency?	Contech AI Workflow Audit
premier_hvac	What kind of operation is Premier HVAC and what outreach angle was used?	Premier HVAC
rem_residential	What signal made R.E.M. Residential a property-management prospect?	R.E.M. Residential
hubspot	Why is HubSpot relevant to JT consulting opportunities?	HubSpot
gbrain_eval	What was the prior recommendation about adopting GBrain?	GBrain
entity_propagation	What is entity propagation supposed to update?	entity propagation
ai_enablement_sprint	What deliverables belong in the AI Enablement Sprint?	AI Enablement Sprint
new_york_heating	What is the New York Heating outreach context?	New York Heating
petri	What pain or signal exists for Petri Plumbing?	Petri
conner_strong	What type of prospect is Conner Strong?	Conner Strong
sdl_ghs	What was the SDL+GHS insurance outreach angle?	SDL+GHS
maxwell	What field-operation signal exists for Maxwell Plumb?	Maxwell
contacts	What warm contacts are tracked and what next actions exist?	Warm Contacts
events	What networking events are logged?	Events
salesforce_data_cloud	What is the Salesforce Data Cloud note about?	Salesforce Data Cloud
cloudflare_code	What was concluded about Cloudflare MCP code mode?	Cloudflare
scrapling	What was the Scrapling evaluation about?	Scrapling
route_safe	What is RouteSafe and why was it considered?	RouteSafe
cron_audit	What was found in the full cron audit?	Cron
